33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.114,other,92.8,0.02,1.15,0.1,,,,,,0.86,5,2,5,2,2,,3,170080,1757,141758,2871685,140,2794,2197,441,,226,195,102,,861,,,,2021-12-08,https://covidactnow.org/us/new_hampshire-nh,,,13,,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.07,other,43.4,0.16,1.22,0.1,,,,,,0.46,3,1,3,1,2,,0,1279667,28494,1273931,19033256,3000,21584,14950,1387,,2950,1357,222,,3950,17334295,7128940,6097687,2021-12-08,https://covidactnow.org/us/new_jersey-nj,0.803,0.687,29,13878111,3
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.15,other,75.0,0.05,1.07,0.1,,,,,,0.9,3,2,3,2,1,,3,325272,5432,556962,3827833,375,4261,3335,742,,465,420,205,,961,3688745,1629897,1349097,2021-12-08,https://covidactnow.org/us/new_mexico-nm,0.777,0.643,11,3212184,3
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.095,other,22.4,0.17,1.06,0.1,,,,,,0.81,2,1,2,1,1,,2,475460,8126,600924,4171672,600,8165,6487,678,,796,641,142,,706,4809690,2068797,1696624,2021-12-08,https://covidactnow.org/us/nevada-nv,0.672,0.551,16,4051842,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.055,other,49.5,0.2,1.13,0.1,,,,,,0.72,3,1,3,1,2,,1,2796043,57396,3045269,63594695,9620,44161,35322,3717,,4858,3479,640,,8537,36401405,15468158,13466844,2021-12-08,https://covidactnow.org/us/new_york-ny,0.795,0.692,64,30772072,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.145,other,65.5,0.04,1.11,0.1,,,,,,0.81,3,2,3,2,2,,2,1743801,27011,1478683,16405811,1659,28560,22626,4656,,3908,3170,1080,,7876,18559105,6894490,6282308,2021-12-08,https://covidactnow.org/us/ohio-oh,0.59,0.537,160,14815116,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.11,other,31.8,0.11,1.22,0.1,,,,,,0.83,3,2,3,1,2,,2,675733,11269,631559,2639523,700,8348,5937,630,,878,730,181,,975,6083560,2520319,2062867,2021-12-08,https://covidactnow.org/us/oklahoma-ok,0.637,0.521,0,4998345,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.05,other,21.4,0.15,1.08,0.1,,,,,,0.75,2,1,2,1,1,,1,397421,5299,350168,5433606,656,6830,5375,528,,778,580,112,,920,8079265,3042371,2734587,2021-12-08,https://covidactnow.org/us/oregon-or,0.721,0.648,31,6368201,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.145,other,60.4,0.04,1.08,0.1,,,,,,0.85,3,2,3,2,1,,2,1791030,34107,1749039,19336289,1508,29025,24614,4746,,3518,3006,920,,7912,24153595,10613764,7605646,2021-12-08,https://covidactnow.org/us/pennsylvania-pa,0.829,0.594,145,18809800,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.023,other,4.0,,0.99,0.15,,,,,,0.67,1,0,1,4,1,,0,222519,3274,121654,1749035,10,9310,5677,47,,676,450,2,,13,6081440,2741681,2385377,2021-12-08,https://covidactnow.org/us/puerto_rico-pr,0.858,0.747,1,5521430,1
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.058,other,84.6,0.04,1.28,0.1,,,,,,0.91,5,1,5,2,2,,3,198036,2949,238141,5283031,200,2351,2034,206,,132,120,30,,1087,2084695,895856,782906,2021-12-08,https://covidactnow.org/us/rhode_island-ri,0.846,0.739,1,1796376,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.052,other,20.3,0.15,1.17,0.1,,,,,,0.75,2,1,2,1,2,,1,925629,14318,962134,9016311,775,10457,8097,465,,1278,956,132,,672,8467965,3140298,2675321,2021-12-08,https://covidactnow.org/us/south_carolina-sc,0.61,0.52,4,6346665,3
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.159,other,57.8,0.14,1.12,0.1,,,,,,0.66,3,2,3,1,2,,0,169789,2375,114722,792378,350,2542,1555,249,,250,165,74,,1026,1527585,603399,490572,2021-12-08,https://covidactnow.org/us/south_dakota-sd,0.682,0.555,4,1185420,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.082,other,26.7,0.13,1.17,0.1,,,,,,0.7,3,1,3,1,2,,0,1299541,17495,1088908,8194789,1226,18323,13196,1016,,2398,1680,253,,1996,10376700,3919014,3417065,2021-12-08,https://covidactnow.org/us/tennessee-tn,0.574,0.5,154,8376573,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.065,other,12.2,0.21,1.07,0.1,,,,,,0.85,2,1,2,1,1,,2,4313071,74589,4567758,34721138,3722,60101,46148,3514,,6772,5786,924,,4979,49717965,18783094,16064673,2021-12-08,https://covidactnow.org/us/texas-tx,0.648,0.554,57,38128091,2
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.107,other,47.8,,0.99,0.1,,,,,,,3,2,3,4,1,,4,606666,3606,677508,5158509,1200,5571,3378,538,,616,421,188,,1122,5085980,2092692,1800713,2021-12-08,https://covidactnow.org/us/utah-ut,0.653,0.562,11,4182706,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.076,other,27.1,0.13,1.15,0.1,,,,,,0.74,3,1,3,1,2,,1,985297,14798,1239101,10419018,1547,17049,12889,1178,,1899,1399,247,,2242,15841765,6529116,5638663,2021-12-08,https://covidactnow.org/us/virginia-va,0.765,0.661,27,13480440,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.046,other,78.2,0.02,1.15,0.11,,,,,,0.82,5,1,5,2,2,,2,53431,419,71401,2704946,53,1240,884,80,,96,79,25,,300,1322810,540100,462912,2021-12-08,https://covidactnow.org/us/vermont-vt,0.866,0.742,2,1158512,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.081,other,22.2,0.25,1.07,0.1,,,,,,0.74,2,1,2,1,1,,1,788853,9517,615128,9071244,2122,11191,8654,837,,1204,889,174,,2023,14265985,5606186,5030544,2021-12-08,https://covidactnow.org/us/washington-wa,0.736,0.661,21,11700091,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.135,other,71.9,0.03,1.09,0.1,,,,,,0.7,3,2,3,2,1,,0,997112,10138,1047779,12120949,600,12386,9009,1731,,1561,1095,447,,5196,9458955,3869007,3509884,2021-12-08,https://covidactnow.org/us/wisconsin-wi,0.664,0.603,4,8430572,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.12,other,58.4,0.05,1.14,0.1,,,,,,0.82,3,2,3,2,2,,2,302120,5021,333477,3742026,248,5845,4776,599,,617,508,179,,771,3394645,966553,744614,2021-12-08,https://covidactnow.org/us/west_virginia-wv,0.539,0.415,31,1691322,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.063,other,31.6,0.05,0.94,0.13,,,,,,0.53,3,1,3,2,1,,0,112368,1472,86504,1086453,50,1603,767,116,,137,72,30,,169,824405,314830,267460,2021-12-08,https://covidactnow.org/us/wyoming-wy,0.544,0.462,44,650183,3
